case_id,label,num_seqs,seq_len,total_tokens,bucket,flash_ms,fusion_ms,delta_ms,ratio,degrade_pct
1,am_bsnd_01,320,32,10240,small,1.080042,0.281526,0.798516,3.83638456128386,283.638456128386
2,am_bsnd_02,320,37,11840,small,0.99274,0.825197,0.167543,1.203033942198045,20.303394219804495
3,am_bsnd_03,320,43,13760,small,1.104142,0.826356,0.277786,1.3361577818760921,33.615778187609216
4,am_bsnd_04,320,48,15360,small,1.041301,0.833216,0.20808500000000008,1.2497371629925496,24.973716299254956
5,am_bsnd_05,320,54,17280,small,1.160063,0.8301369999999999,0.32992600000000016,1.397435604002713,39.74356040027129
6,am_bsnd_06,320,59,18880,small,1.153003,0.831196,0.32180699999999995,1.387161391537014,38.7161391537014
7,am_bsnd_07,320,64,20480,small,1.5069110000000001,0.8335159999999999,0.6733950000000002,1.807896908997548,80.7896908997548
8,am_bsnd_08,320,70,22400,small,1.799356,0.834076,0.9652799999999999,2.1573046101314506,115.73046101314506
9,am_bsnd_09,320,75,24000,small,1.8099960000000002,0.827237,0.9827590000000002,2.1880017455698915,118.80017455698915
10,am_bsnd_10,320,81,25920,small,1.836497,0.840237,0.99626,2.185689275763862,118.5689275763862
11,am_bsnd_11,320,86,27520,small,1.854817,0.842857,1.01196,2.200630711971307,120.06307119713071
12,am_bsnd_12,320,91,29120,small,1.8561969999999999,0.870057,0.9861399999999999,2.133419994322211,113.34199943222112
13,am_bsnd_13,320,97,31040,small,1.925838,0.903798,1.02204,2.130827906235685,113.08279062356851
14,am_bsnd_14,320,102,32640,small,1.935438,0.903799,1.031639,2.1414473793398754,114.14473793398754
15,am_bsnd_15,320,108,34560,small,1.987979,0.938939,1.04904,2.117261078728224,111.7261078728224
16,am_bsnd_16,320,113,36160,small,2.035141,1.01088,1.0242609999999999,2.0132369816397593,101.32369816397593
17,am_bsnd_17,320,119,38080,medium,2.110042,1.053961,1.056081,2.002011459627064,100.20114596270639
18,am_bsnd_18,320,124,39680,medium,2.1574229999999996,1.045081,1.1123419999999997,2.064359604662222,106.43596046622221
19,am_bsnd_19,320,129,41280,medium,2.567731,2.589772,-0.022040999999999755,0.9914892121777517,-0.8510787822248345
20,am_bsnd_20,320,135,43200,medium,3.534351,2.5959119999999998,0.9384390000000002,1.3615064763366402,36.15064763366402
21,am_bsnd_21,320,140,44800,medium,3.551611,2.5870509999999998,0.9645600000000001,1.3728415095025186,37.284150950251856
22,am_bsnd_22,320,146,46720,medium,3.595572,2.588412,1.0071600000000003,1.389103434847312,38.91034348473119
23,am_bsnd_23,320,151,48320,medium,3.611672,2.600672,1.0110000000000001,1.3887456780401375,38.87456780401375
24,am_bsnd_24,320,156,49920,medium,3.613372,2.5949920000000004,1.0183799999999996,1.3924405161942695,39.24405161942695
25,am_bsnd_25,320,162,51840,medium,3.718074,2.607012,1.111062,1.4261821579647505,42.61821579647504
26,am_bsnd_26,320,167,53440,medium,3.7014340000000003,2.604712,1.0967220000000002,1.4210530761174365,42.10530761174365
27,am_bsnd_27,320,173,55360,medium,3.713015,2.611932,1.101083,1.4215588307811995,42.15588307811995
28,am_bsnd_28,320,178,56960,medium,3.6850140000000002,2.6043719999999997,1.0806420000000005,1.414933811298847,41.493381129884696
29,am_bsnd_29,320,183,58560,medium,3.693993,2.614432,1.079561,1.4129237249238076,41.29237249238076
30,am_bsnd_30,320,189,60480,medium,3.708754,2.622372,1.086382,1.4142745575379847,41.42745575379847
31,am_bsnd_31,320,194,62080,medium,3.973539,2.6850140000000002,1.288525,1.4798950768971781,47.98950768971781
32,am_bsnd_32,320,200,64000,medium,4.066141,2.640693,1.4254479999999998,1.5398007265517044,53.98007265517044
33,am_bsnd_33,320,205,65600,medium,4.222564,2.7232950000000002,1.499269,1.5505349218501852,55.05349218501851
34,am_bsnd_34,320,210,67200,large,4.412948,2.715434,1.697514,1.6251354295482785,62.51354295482785
35,am_bsnd_35,320,216,69120,large,4.606091999999999,2.665873,1.9402189999999995,1.7277987360988312,72.77987360988311
36,am_bsnd_36,320,221,70720,large,4.564072,2.806376,1.7576960000000001,1.6263223459721718,62.632234597217185
37,am_bsnd_37,320,227,72640,large,5.1400429999999995,2.8700970000000003,2.269945999999999,1.7908952206144946,79.08952206144946
38,am_bsnd_38,320,232,74240,large,5.115182,2.713774,2.401408,1.8848960893574778,88.48960893574778
39,am_bsnd_39,320,238,76160,large,5.5428500000000005,2.938599,2.6042510000000005,1.8862219717627347,88.62219717627346
40,am_bsnd_40,320,243,77760,large,5.646433,2.645693,3.00074,2.1341981099091996,113.41981099091996
41,am_bsnd_41,320,248,79360,large,5.863957999999999,2.51161,3.352347999999999,2.334740664354736,133.47406643547362
42,am_bsnd_42,320,254,81280,large,5.780376,2.731314,3.0490620000000006,2.116335214479185,111.6335214479185
43,am_bsnd_43,320,259,82880,large,5.346287,4.4823699999999995,0.8639170000000007,1.19273665493924,19.273665493923996
44,am_bsnd_44,320,265,84800,large,5.362006999999999,4.437628,0.9243789999999992,1.2083047519981394,20.830475199813936
45,am_bsnd_45,320,270,86400,large,5.377548,4.4371279999999995,0.9404200000000005,1.2119434012271002,21.19434012271002
46,am_bsnd_46,320,275,88000,large,5.372628,4.474908999999999,0.8977190000000004,1.2006116772430457,20.061167724304575
47,am_bsnd_47,320,283,90560,large,5.372227,4.493510000000001,0.8787169999999991,1.195552474568878,19.55524745688779
48,am_bsnd_48,320,291,93120,large,5.4753289999999994,4.52695,0.9483789999999992,1.2094962391897413,20.949623918974126
49,am_bsnd_49,320,302,96640,large,5.52881,4.53853,0.9902800000000003,1.2181939967346256,21.81939967346256
50,am_bsnd_50,320,512,163840,large,11.829316,8.275066,3.5542499999999997,1.429513190589658,42.95131905896581
